word,positive,negative
obstacul*,0,0
rendición,0,0
farmacéutic*,0,0
concilio*,0,0
cama,0,0
quitáramos,0,0
pudiéramos,0,0
detendré*,0,0
nación,0,0
dormiste*,0,0
camináis,0,0
saboree*,0,0
mostraron,0,0
sujetó,0,0
comunicamos,0,0
cabree*,0,1
arrastra,0,0
caminaba*,0,0
fastidie*,0,1
sujeté,0,0
terror*,0,1
motiva*,0,0
apremia*,0,1
garaje*,0,0
policia*,0,0
miércoles,0,0
estuvo,0,0
fallecimiento*,0,0
omóplato*,0,0
figurara*,0,0
dedicase*,0,0
ayudare*,0,0
envolvimiento,0,0
charco*,0,0
quitaré,0,0
aliad*,1,0
fuméis,0,0
quitará,0,0
odiáis,0,0
desvían,0,0
desvías,0,0
pareciéramos,0,0
violad*,0,0
desencadenó,0,0
gritéis,0,0
interesó,1,0
digamos,0,0
almorcemos,0,0
sudáis,0,0
castigaba*,0,1
compras,0,0
propuse,0,0
dedicamos,0,0
durmiésemos,0,0
compran,0,0
torcimos,0,0
giraba*,0,0
dolor*,0,1
interesé,1,0
canséis,0,0
intenté,0,0
beso,0,0
solicitara*,0,0
dijéramos,0,0
alertar,0,0
alertas,0,0
mamada,0,1
desempeñe*,0,0
aprendió,0,0
detendrá*,0,0
guiña*,0,0
alertan,0,0
golpiar,0,0
concluyera*,0,0
extiende*,0,0
vacaciones,0,0
encaja*,0,0
arrancase*,0,0
concentra*,0,0
tengamos,0,0
metodista*,0,0
concis*,0,0
enfocare*,0,0
cómo,0,0
refleje*,0,0
ira,0,0
intentaron,0,0
revés,0,0
alguien,0,0
ahorra*,0,0
sífilis,0,0
derrite,0,0
contaste,0,0
agradecid*,1,0
guiñar,0,0
derrito,0,0
comunicaste*,0,0
estrés,0,1
afectara,0,0
aturdid*,0,1
vencéis,1,1
trescient*,0,0
asistió,0,0
pertinencia,0,0
mandar,0,0
venció,1,1
mostremos,0,0
aceptara*,1,0
costilla*,0,0
comunicó,0,0
pito,0,0
obtuviera*,0,0
cargáis,0,0
estaría,0,0
atesorar*,1,0
convocaré*,0,0
alegrase*,0,0
patinaba*,0,0
piscina*,0,0
trabajara*,0,0
obes*,0,0
gobiern*,0,0
conduciré*,0,0
vais,0,0
abrí,0,0
desviase*,0,0
ministerio*,0,0
adivináis,0,0
concienzud*,0,0
volváis,0,0
callase*,0,0
consolida*,0,0
contemplaré*,0,0
vencí,1,1
vigilast*,0,0
hallaré*,0,0
entregáis,0,0
eso*,0,0
elige*,0,0
introdujera*,0,0
tragáis,0,0
café,0,0
conseguire*,0,0
apostaba*,0,0
danzó,0,0
rotura,0,0
frota,0,0
finalizáis,0,0
velorio*,0,0
filma*,0,0
consiguieron,0,0
transitori*,0,0
penetrara*,0,0
aseguro,0,0
asegura,0,0
tendríais,0,0
causará*,0,0
corredor*,0,0
derriten,0,0
comunicare*,0,0
derrites,0,0
volvéis,0,0
ensueño*,0,0
metí,0,0
haréis,0,0
colesterol,0,0
unos,0,0
guío,0,0
tomas,0,0
guía,0,0
cripta*,0,0
posicion*,0,0
migraña*,0,0
factual*,0,0
discurso,0,0
contaríamos,0,0
destruir*,0,1
comenzásemos,0,0
fruto*,0,0
cornisa,0,0
mentor*,0,0
buscársela,0,0
academi*,0,0
dedico,0,0
determinación,0,0
propaga*,0,0
circulásemos,0,0
combatir,0,1
comprendimos,0,0
agarras,0,0
agarrar,0,0
pescar,0,0
efectúe*,0,0
indicó,0,0
dudos*,0,0
boiler,0,0
empezába*,0,0
flotará*,0,0
tope,0,0
agarran,0,0
mentís,0,1
pensaréis,0,0
memoria*,0,0
costó,0,0
sentast*,0,0
triunfare*,1,0
esquizofrenia,0,0
desliza,0,0
poseist*,0,0
limonada,0,0
foto*,0,0
letra,0,0
destacad,0,0
emprenderé*,0,0
cambiaré*,0,0
termómetro,0,0
rompéis,0,0
ideas,0,0
profesi*,0,0
tocába*,0,0
consultéis,0,0
firme*,0,0
billón,0,0
subiera*,0,0
manoseáis,0,0
han,0,0
feminicidio,0,0
fractura,0,0
estuvieron,0,0
tocásemos,0,0
entera,0,0
introducire*,0,0
enteraste*,0,0
ningun*,0,0
aprovecha*,1,0
escribieron,0,0
jugará*,0,0
entero,0,0
perturba*,0,1
cabezota,0,1
corazon*,0,0
práctica,0,0
poseo,0,0
sensibilidad*,1,0
arrastréis,0,0
destaca*,0,0
salía*,0,0
pasará*,0,0
cenáis,0,0
lisia*,0,1
solemos,0,0
desconfió,0,1
sentisteis,0,0
falte*,0,0
escudriña*,0,0
comemierda*,0,0
ponzoñ*,0,1
abandonas,0,1
abandonar,0,1
involucrar*,0,0
abandonan,0,1
cuide*,0,0
pongáis,0,0
creen,0,0
diarrea*,0,0
descubrí,0,0
variaciones,0,0
arrojare*,0,0
inmediat*,0,0
septentrional,0,0
encontraste*,0,0
angelical*,0,0
crees,0,0
pensemos,0,0
tiréis,0,0
superó,0,0
apostamos,0,0
gritará*,0,0
tornado,0,0
banda*,0,0
precavid*,0,0
entretanto,0,0
comunicando,0,0
reconociera*,0,0
panza*,0,0
olamos,0,0
esencial*,0,0
equitativo,0,0
compensara*,0,0
macabr*,0,1
balonvolea,0,0
proveéis,0,0
refieren,0,0
derrochó,0,0
refieres,0,0
derroché,0,0
culpa*,0,1
estudiamos,0,0
creativ*,0,0
ansios*,0,1
comunicaré*,0,0
soléis,0,0
o,0,0
romancear,0,0
pondere*,0,0
exhausta*,0,0
tiráis,0,0
perdiera*,0,1
densa*,0,0
talent*,1,0
acarrearé*,0,0
sol,0,0
arranque*,0,0
son,0,0
sos,0,0
buscaré*,0,0
desintegra*,0,1
aguinaldo,0,0
soy,0,0
añad*,0,0
custodiásemos,0,0
hallo,0,0
presenció,0,0
halla,0,0
escribía*,0,0
hiciéramos,0,0
seduje*,0,0
reconoció,0,0
marido,0,0
presencié,0,0
penca*,0,0
juzgase*,0,0
ellos,0,0
palpaste*,0,0
realizó,0,0
decora*,0,0
seguir,0,0
vital*,1,0
platicaremos,0,0
luchamos,0,1
débil,0,1
altitud*,0,0
